"ID";"Nome";"Logradouro";"Município";"UF";"CEP";"Termo.Convênio";"Valor.Pactuado.pelo.FNDE";"valor_gasto";"situacao"
1377;"830054 - Escola de Educação Infantil - Uruburetama/CE";"Rua Francisco Ferreira Fonteneles";"Uruburetama";"CE";62650000;"830054/2007";0;1085455,43761508;"Planejamento pelo proponente"
1385;"700076 - Escola de Educação Infantil - Humaitá/AM";"Rua Padre José de Souza Pena";"Humaitá";"AM";69800000;"700076/2008";0;NA;"Planejamento pelo proponente"
1407;"700078 - Escola de Educação Infantil - Encanto/RN";"Rua Sete de Setembro";"Encanto";"RN";59905000;"700078/2008";1;1059380,58076005;"Planejamento pelo proponente"
1429;"700045 - Escola de Educação Infantil - Tipo B- Luís Gomes/RN";"Rua Doutor Adolfo Paulino";"Luís Gomes";"RN";59940000;"700045/2008";0;1061489,62736784;"Planejamento pelo proponente"
1462;"710287 - Escola de Educação Infantil - Brejo Santo/CE";"Rua Napoleão Araújo Lima";"Brejo Santo";"CE";63260000;"710287/2008";950000;1064684,00944822;"Planejamento pelo proponente"
1471;"710309 - Escola de Educação Inf - Bom Jesus dos Perdões/SP";"Rua João Franco de Camargo";"Bom Jesus dos Perdões";"SP";12955000;"710309/2008";0;977102,593449039;"Planejamento pelo proponente"
1485;"830139 - Escola de Educação Inf - Santa Cruz de Minas/MG";"Rua Getúlio Vargas";"Santa Cruz de Minas";"MG";36328000;"830139/2007";1146296,94;1110427,90610772;"Planejamento pelo proponente"
1495;"710090 - Escola de Educação Infantil - Serranópolis/GO";"Avenida Ramiro Teixeira";"Serranópolis";"GO";75820000;"710090/2008";942392,55;1110427,90610772;"Execução"
1496;"700017/08 - Escola de Educação Infantil - Rio Tinto/PB";NA;"Rio Tinto";"PB";NA;"700017/2008";1041669,09;1032573,02932874;"Execução"
1497;"710025 - Escola de Educação Infantil - Liberdade/MG";"Avenida Ministro Barbosa Lima";"Liberdade";"MG";37350000;"710025/2008";1150623,58;985422,091231044;"Planejamento pelo proponente"
1528;"710055 - Escola de Educação Infantil - Tucunduva/RS";"Rua Santa Rosa";"Tucunduva";"RS";98930000;"710055/2008";707070,71;1105123,31419956;"Planejamento pelo proponente"
1601;"830156 - Escola de Educação Infantil - Patu/RN";"Rua Lauro Maia";"Patu";"RN";59770000;"830156/2007";933482,98;1105123,31419956;"Planejamento pelo proponente"
1621;"700067 - Escola de Educação Infantil - Arataca/BA";"Rua Castro Alves";"Arataca";"BA";45695000;"700067/2008";7e+05;989659,406223338;"Planejamento pelo proponente"
1634;"830223 - Escola de Educação Infantil - Rio das Ostras/RJ";"RUA NITEROI";"Rio das Ostras";"RJ";28890000;"830223/2007";1322099,33;982965,209009733;"Planejamento pelo proponente"
1662;"710215/08 - Escola de Educação Infantil B - João Pessoa/PB";"Centro Administrativo da Prefeitura Municipal de João Pessoa Rua Diógenes Chianca, s/n";"João Pessoa";"PB";58053900;"710215/2008";0;NA;"Planejamento pelo proponente"
1669;"830130 - Escola de Educação Infantil - Muqui/ES";"Rua Vieira Machado";"Muqui";"ES";29480000;"830130/2007";707070,71;1105123,31419956;"Planejamento pelo proponente"
1798;"830088 - Escola de Educação Infantil - Araranguá/SC";"Rua Francisco Rufino Orige esquina com Avenida Capitão Pedro Fernandes";"Araranguá";"SC";88900000;"830088/2007";925050,86;1452902,81307876;"Planejamento pelo proponente"
1814;"710075 - Escola de Educação Infantil - Regente Feijó/SP";"Rua José Bonifácio";"Regente Feijó";"SP";19570000;"710075/2008";0;NA;"Planejamento pelo proponente"
1927;"710291 - Escola de Educação Infantil - Paranapanema/SP";"Rua Avaré";"Paranapanema";"SP";18720000;"710291/2008";1032169,09;985422,091231044;"Planejamento pelo proponente"
1934;"830098 - Escola de Educação Infantil - Calmon/SC";"Avenida Principal";"Calmon";"SC";89430000;"830098/2007";0;1110427,90610772;"Planejamento pelo proponente"
1986;"710138 - Escola de Educação Infantil - Araucária/PR";"Rua Pedro Druszcz";"Araucária";"PR";83702080;"710138/2008";7e+05;1031643,71360234;"Planejamento pelo proponente"
2025;"830105 - Escola de Educação Infantil - Cambé/PR";"Rua Otto Gaertner";"Cambé";"PR";86185130;"830105/2007";1569060,47;1110427,90610772;"Planejamento pelo proponente"
2035;"710145 - Escola de Educação Infantil - Muzambinho/MG";"Avenida Américo Luz";"Muzambinho";"MG";37890000;"710145/2008";1200633,85;NA;"Execução"
2048;"830385 - Escola de Educação Infantil - Lapa/PR";"Rua Octávio José kuss";"Lapa";"PR";83750000;"830385/2007";7e+05;1110427,90610772;"Planejamento pelo proponente"
2070;"710201 - Escola de Educação Infantil - Águas da Prata/SP";"Rua Capitão João Urias";"Águas da Prata";"SP";13890000;"710201/2008";0;NA;"Planejamento pelo proponente"
2209;"830133 - Escola de Educação Infantil - Campinas/SP";"Prefeitura Municipal de Campinas Avenida Anchieta, 200";"Campinas";"SP";13015904;"830133/2007";7e+05;1110427,90610772;"Planejamento pelo proponente"
3779;"700194 - Escola de Educação Infantil - Senador Pompeu/CE";"AV.FRANCISCO FRANÇA CAMBRAIA";"Senador Pompeu";"CE";63600000;"700194/2008";940500;695954,291768643;"Planejamento pelo proponente"
3784;"700297 - Escola de Educação Infantil - Coremas/PB";"RUA CAPITAO ANTONIO LEITE";"Coremas";"PB";58770000;"700297/2008";950000;1035976,61719947;"Planejamento pelo proponente"
3831;"710231 - Escola de Educação Infantil - Porto Real/RJ";"Rua Hillário Ettore";"Porto Real";"RJ";27570000;"710231/2008";1456688,31;1105123,31419956;"Execução"
5598;"806079 - Espaço Educativo Urbano II - 06 Salas - Vacaria/RS";NA;"Vacaria";"RS";95200000;"806079/2007";0;NA;"Planejamento pelo proponente"
